          2026/2027 TOYOTA FULL-LINE PRICING
   ***Prices are Manufacturer’s Suggested Retail Prices (MSRP), and do not include
                     delivery, processing, and handling fee (DPH).
      ***DPH is as follows, and is in effect for all units scheduled for processing,
                 regardless of model year, on or after January 1, 2026:
                  - $2,195 for Large Pickup/Large SUV (Tundra, Sequoia)
                  - $1,745 for Small Pickup (Tacoma)
                  - $1,595 for Midsize SUV/Van (4Runner, Highlander, Grand
                     Highlander, Sienna, Land Cruiser)
                  - $1,595 for Small SUV (bZ, bZ Woodland, C-HR, Crown Signia,
                     RAV4, RAV4 Hybrid, RAV4 Plug-in Hybrid)
                  - $1,595 for Entry SUV (Corolla Cross, Corolla Cross Hybrid)
                  - $1,295 for Passenger Cars (Corolla, Corolla Hybrid, Corolla
                     Hatchback, Camry Hybrid, Crown, GR86, GR Corolla, GR
                     Supra, Prius, Prius Prime, Mirai)


MODEL #      MY                                MODEL                             MSRP
1265   2027   Prius XLE AWD                          $33,600
1266   2027   Prius Nightshade AWD                   $34,405
1268   2027   Prius Limited AWD                      $37,170


1235   2027   Prius Plug-in Hybrid SE                $33,980
1237   2027   Prius Plug-in Hybrid XSE               $37,230
1239   2027   Prius Plug-in Hybrid XSE Premium       $40,675
1233   2027   Prius Plug-in Hybrid Nightshade        $38,000

4521   2026   RAV4 Hybrid LE FWD                     $31,900
4435   2026   RAV4 Hybrid LE AWD                     $33,300
4523   2026   RAV4 Hybrid SE FWD                     $34,700
4524   2026   RAV4 Hybrid SE AWD                     $36,100
4437   2026   RAV4 Hybrid Woodland AWD               $39,900
4527   2026   RAV4 Hybrid XLE Premium FWD            $36,100
4444   2026   RAV4 Hybrid XLE Premium AWD            $37,500
4530   2026   RAV4 Hybrid XSE AWD                    $41,300
4534   2026   RAV4 Hybrid Limited AWD                $43,300

4544   2026   RAV4 Plug-in Hybrid SE                 $41,500
4537   2026   RAV4 Woodland Plug-in Hybrid           $45,300
4550   2026   RAV4 Plug-in Hybrid XSE                $47,200
4538   2026   RAV4 GR SPORT                          $48,500
                                                        $
7946   2026   Sequoia 4x2 SR5 iForce MAX             $65,725
7947   2026   Sequoia 4x4 SR5 iForce MAX             $68,725
7948   2026   Sequoia 4x2 Limited iForce MAX         $71,495
7949   2026   Sequoia 4x4 Limited iForce MAX         $74,495
7951   2026   Sequoia 4x4 Platinum iForce MAX        $81,735
7953   2026   Sequoia 4x4 TRD Pro iForce MAX         $82,465
7957   2026   Sequoia 4x4 1794 Edition iForce MAX    $82,550
7955   2026   Sequoia 4x4 Capstone iForce MAX        $86,135



                                       5
                            Last updated 7/29/2026
5402   2026   Sienna LE FWD 8-Passenger Hybrid            $40,420
5403   2026   Sienna LE AWD 8-Passenger Hybrid            $42,420
5406   2026   Sienna XLE FWD 7-Passenger Hybrid           $45,120
5407   2026   Sienna XLE AWD 7-Passenger Hybrid           $47,120
5408   2026   Sienna XLE FWD 8-Passenger Hybrid           $45,120
5409   2026   Sienna Woodland Edition AWD Hybrid          $51,200
5410   2026   Sienna XSE FWD Hybrid                       $48,345
5411   2026   Sienna XSE AWD 7-Passenger Hybrid           $49,235
5414   2026   Sienna Limited FWD 7-Passenger Hybrid       $51,105
5415   2026   Sienna Limited AWD 7-Passenger Hybrid       $53,105
5419   2026   Sienna Platinum AWD 7-Passenger Hybrid      $57,810

7162   2026   Tacoma 4x2 SR XtraCab LB                    $32,245
7186   2026   Tacoma 4x2 SR Double Cab SB                 $33,905
7514   2026   Tacoma 4x4 SR XtraCab LB                    $35,445
7126   2026   Tacoma 4x2 SR5 XtraCab LB                   $36,335
7547   2026   Tacoma 4x4 SR Double Cab 6MT SB             $37,105
7594   2026   Tacoma 4x4 SR Double Cab SB                 $37,105
7146   2026   Tacoma 4x2 SR5 Double Cab SB                $37,405
7170   2026   Tacoma 4x2 SR5 Double Cab LB                $37,905
7166   2026   Tacoma 4x2 PreRunner XtraCab LB             $38,835
7558   2026   Tacoma 4x4 SR5 XtraCab LB                   $39,535
7148   2026   Tacoma 4x2 TRD Sport Double Cab SB          $40,115
7172   2026   Tacoma 4x2 TRD Sport Double Cab LB          $40,615
7540   2026   Tacoma 4x4 SR5 Double Cab SB                $40,605
7570   2026   Tacoma 4x4 SR5 Double Cab LB                $41,105
7545   2026   Tacoma 4x4 TRD Off-Road Double Cab 6MT SB   $42,515
7543   2026   Tacoma 4x4 TRD Sport Double Cab 6MT SB      $42,515
7542   2026   Tacoma 4x4 TRD Sport Double Cab SB          $43,315
7544   2026   Tacoma 4x4 TRD Off-Road Double Cab SB       $43,615
7566   2026   Tacoma 4x4 TRD Sport Double Cab LB          $43,815
7568   2026   Tacoma 4x4 TRD Off-Road Double Cab LB       $44,115
7530   2026   TRD Sport i-FORCE MAX Double Cab 4x4        $47,035


                                      6
                           Last updated 7/29/2026
7532   2026   TRD Off-Road i-FORCE MAX Double Cab 4x4               $47,335
7582   2026   Tacoma 4x4 Limited Double Cab SB                      $53,270
7534   2026   Limited i-FORCE MAX Double Cab 4x4                    $56,595
7536   2026   Trailhunter i-FORCE MAX Double Cab 4x4                $63,450
7538   2026   Trailhunter i-FORCE MAX Double Cab 4x4 6’ Bed         $63,950
7598   2026   TRD Pro i-FORCE MAX Double Cab 4x4                    $64,450

4015   2027   Toyota Crown XLE Hybrid AWD                           $41,640
4020   2027   Toyota Crown Limited Hybrid AWD                       $49,720
4025   2027   Toyota Crown Nightshade Hybrid AWD                    $48,965
4030   2027   Toyota Crown Platinum Hybrid MAX AWD                  $55,190

4040   2026   Toyota Crown Signia XLE Hybrid AWD                    $44,690
4041   2026   Toyota Crown Signia Limited Hybrid AWD                $49,090

8241   2026   Tundra 4x2 SR5 Double Cab 6.5-ft. bed i-FORCE         $46,510
8242   2026   Tundra 4x2 SR Double Cab 6.5-ft. bed i-FORCE          $41,260
8245   2026   Tundra 4x2 SR Double Cab 8.1-ft. bed i-FORCE          $41,590
8248   2026   Tundra 4x2 SR Double Cab 5.5-ft. bed i-FORCE          $43,260
8261   2026   Tundra 4x2 SR5 CrewMax 5.5-ft. bed i-FORCE            $48,510
8272   2026   Tundra 4x2 Limited CrewMax 5.5-ft. bed i-FORCE        $54,860
8275   2026   Tundra 4x2 Platinum CrewMax 5.5-ft. bed i-FORCE       $63,695
8276   2026   Tundra 4x2 1794 CrewMax 5.5-ft. bed i-FORCE           $64,380
8281   2026   Tundra 4x2 SR5 CrewMax 6.5-ft. bed i-FORCE            $49,375
8282   2026   Tundra 4x2 Limited CrewMax 6.5-ft. bed i-FORCE        $55,190
8341   2026   Tundra 4x4 SR5 Double Cab 6.5-ft. bed i-FORCE         $49,510
8342   2026   Tundra 4x4 SR Double Cab 6.5-ft. bed i-FORCE          $44,260
8346   2026   Tundra 4x4 SR5 Double Cab 8.1-ft. bed i-FORCE         $50,375
8348   2026   Tundra 4x4 SR CrewMax 5.5-ft. bed i-FORCE             $46,260
8361   2026   Tundra 4x4 SR5 CrewMax 5.5-ft. bed i-FORCE            $51,510
8372   2026   Tundra 4x4 Limited CrewMax 5.5-ft. bed i-FORCE        $57,860
8375   2026   Tundra 4x4 Platinum CrewMax 5.5-ft. bed i-FORCE       $66,695
8376   2026   Tundra 4x4 1794 Edition CrewMax 5.5-ft. bed i-FORCE   $67,380


                                       7
                            Last updated 7/29/2026
8381   2026   Tundra 4x4 SR5 CrewMax 6.5-ft. bed i-FORCE            $52,375
8382   2026   Tundra 4x4 Limited CrewMax 6.5-ft. bed i-FORCE        $58,190
8385   2026   Tundra 4x4 Platinum CrewMax 6.5-ft. bed i-FORCE       $67,025
8386   2026   Tundra 4x4 1794 Edition CrewMax 6.5-ft. bed i-FORCE   $67,710
8401   2026   Tundra 4x2 Limited CrewMax 5.5-ft. i-FORCE MAX        $58,560
8411   2026   Tundra 4x2 Limited CrewMax 6.5-ft. i-FORCE MAX        $58,890
8421   2026   Tundra 4x4 Limited CrewMax 5.5-ft. i-FORCE MAX        $61,560
8424   2026   Tundra 4x4 TRD Pro CrewMax 5.5-ft. i-FORCE MAX        $72,565
8422   2026   Tundra 4x4 Platinum CrewMax 5.5-ft. i-FORCE MAX       $70,605
8423   2026   Tundra 4x4 1794 Edition CrewMax 5.5-ft. i-FORCE MAX   $71,305
8425   2026   Tundra 4x4 Capstone CrewMax 6.5-ft. i-FORCE MAX       $80,800
8431   2026   Tundra 4x4 Limited 6.5-ft. i-FORCE MAX                $61,890
8432   2026   Tundra 4x4 Platinum 6.5-ft. i-FORCE MAX               $70,935
8433   2026   Tundra 4x4 1794 Edition 6.5-ft. i-FORCE MAX           $71,635



                                   ###




                                      8
                           Last updated 7/29/2026

